Nombre del evento,Número de eventos,Total de usuarios,Número de eventos por usuario,Total de ingresos
ad_impression,55784881,40478,1381.0531775307602,36648.282948
screen_view,7372943,46951,157.84168611247887,0
Run_Day_0,4829220,45600,106.25112758795186,0
AVG_CHAPTERS,4241804,40271,105.47553212651681,0
SHOW_HINT,3569372,29761,120.16064635583236,0
user_engagement,3268976,46658,70.06700246490195,0
DailyEngageMachine,1552703,14089,110.72545104471226,0
session_start,730052,47027,15.626781968406181,0
REWARDED_COINS_START,585442,16861,34.77942137468069,0
SHOW_HINTSELECT_START,430041,13528,31.843095149944464,0
SHOW_HINTSELECT_END,429493,13467,31.970596992705076,0
SHOW_MULTIHINT,393786,10329,38.253934330678064,0
NOCOINS_HINTS,337194,7957,42.46241027578391,0
REWARDED_COINS_COMPLETED,287797,8317,34.60346278706264,0
CONSENT_NOTIFICATIONS_Denied,263127,13640,19.297909790979098,0
ad_reward,206761,8035,25.738951823727124,0
CONSENT_NOTIFICATIONS_Allowed,145106,8969,16.272961758438935,0
RATEAPP_CANCEL,58774,19755,2.9834517766497464,0
REWARDED_COINS_FAILED,49268,4584,10.750163648265328,0
NOCOINS_HINTSELECT,41418,4271,9.731672932330827,0
NOCOINS_MULTIHINTS,29128,4246,6.8990999526290855,0
notification_receive,25941,12997,3.3317492936039046,0
NOTIFICATION_OPENED_comeBack,24348,2412,10.136552872606162,0
START_LEVEL_1,21995,19731,1.1166108234338512,0
START_LEVEL_6,19406,16221,1.2030998140111593,0
LEVEL_COMPLETED_1,18907,18066,1.0480017737375977,0
START_LEVEL_2,18320,17511,1.049736419894568,0
FIRST_RUN,18296,18038,1.014753189129229,0
first_open,18000,18130,0.9928295642581357,0
START_LEVEL_3,17946,17008,1.0618306609076387,0
LEVEL_COMPLETED_2,17471,17131,1.0255943645435868,0
START_LEVEL_4,17362,16565,1.0545432458697765,0
START_LEVEL_5,17306,16303,1.0670859538784068,0
START_LEVEL_16,17153,13241,1.2986826165960024,0
TIME_LEVEL_11,17010,16753,1.0165541146237973,0
MinutesWithoutAdsStart_0,16913,17038,0.9944728641147763,0
LEVEL_COMPLETED_3,16910,16580,1.0259054783716557,0
LEVEL_COMPLETED_4,16556,16251,1.0248854772811689,0
START_LEVEL_7,16500,15011,1.1050093758371282,0
TIME_LEVEL_21,16487,16231,1.0221326720396777,0
LEVEL_COMPLETED_5,16220,15918,1.023602170894863,0
TIME_LEVEL_31,16070,15835,1.0210954377938748,0
TIME_LEVEL_41,15786,15530,1.0204925980994246,0
